iter	Logloss
0	0.6129462995
1	0.5489375334
2	0.5217731316
3	0.4997288887
4	0.4877275033
5	0.4781799011
6	0.4698837587
7	0.453831837
8	0.4472564678
9	0.4436680397
10	0.4387409972
11	0.4337487856
12	0.4299218276
13	0.4270488097
14	0.4234204453
15	0.4197410016
16	0.417529804
17	0.4160796448
18	0.4143256024
19	0.4114097274
20	0.4094068477
21	0.4075713331
22	0.4058970525
23	0.4048153361
24	0.4030359434
25	0.400642888
26	0.399588025
27	0.3981078381
28	0.3955118487
29	0.3946381553
30	0.3931469565
31	0.3923528871
32	0.3913387406
33	0.3899910317
34	0.388984539
35	0.3884109568
36	0.3879851447
37	0.3873351901
38	0.3866853346
39	0.3853171956
40	0.3849379493
41	0.3845822274
42	0.3843528446
43	0.384281405
44	0.3839167616
45	0.3833335622
46	0.3830299
47	0.3828332069
48	0.3825610856
49	0.382253499
50	0.3820676197
51	0.3816173328
52	0.3813019196
53	0.3809978229
54	0.3808059475
55	0.3806625432
56	0.3798701825
57	0.3793706993
58	0.3791312108
59	0.37904041
60	0.3789375339
61	0.378809744
62	0.3785365356
63	0.3783882397
64	0.3781973482
65	0.3779560618
66	0.3779114607
67	0.3777750781
68	0.377633673
69	0.3776242067
70	0.3775844858
71	0.3775507009
72	0.3774392592
73	0.3771314704
74	0.3770717473
75	0.3769526274
76	0.376873492
77	0.3763779438
78	0.3763165257
79	0.3761803624
80	0.3761186394
81	0.3759642947
82	0.3758913388
83	0.3757609339
84	0.375673685
85	0.3755516402
86	0.3754884018
87	0.3753918324
88	0.3752801607
89	0.3751807689
90	0.3751112779
91	0.3749753192
92	0.3748861463
93	0.3747393938
94	0.3746625191
95	0.374431181
96	0.3743367059
97	0.3741539435
98	0.3740520039
99	0.373956746
100	0.3737819358
101	0.3736437267
102	0.3735824325
103	0.3733962261
104	0.3733747475
105	0.3731925729
106	0.3731310307
107	0.3730634308
108	0.3729763234
109	0.3727281767
110	0.3725833349
111	0.3723821036
112	0.3721798733
113	0.3721250472
114	0.3719205253
115	0.3718649835
116	0.3718063075
117	0.3716813842
118	0.3716052133
119	0.3715613757
120	0.3715323988
121	0.3714636534
122	0.3713310006
123	0.3711822088
124	0.3709955135
125	0.3707856555
126	0.3707409892
127	0.3706109343
128	0.3705079616
129	0.3704290814
130	0.3702658805
131	0.3702117187
132	0.370021828
133	0.3699243317
134	0.3698583707
135	0.3697489549
136	0.3696659246
137	0.3696543835
138	0.3695229703
139	0.3693359409
140	0.3692312262
141	0.3691835563
142	0.3690789272
143	0.3689295145
144	0.3689202164
145	0.368861555
146	0.3681731876
147	0.3680932261
148	0.3680429934
149	0.3679944348
150	0.3679707579
151	0.3679226638
152	0.3678289147
153	0.36776599
154	0.3677422835
155	0.3676510218
156	0.3676311317
157	0.3675706156
158	0.3675488336
159	0.3674811328
160	0.3673260619
161	0.3672035317
162	0.3670609479
163	0.3669799827
164	0.3668525513
165	0.3667335775
166	0.3665879879
167	0.3665140877
168	0.3664011191
169	0.3663221375
170	0.3662896798
171	0.3662737307
172	0.3662326335
173	0.3661837076
174	0.3660189331
175	0.3658735426
176	0.3657682477
177	0.3656622794
178	0.3655983819
179	0.3655213802
180	0.3654759256
181	0.3654290451
182	0.3654178486
183	0.3653351494
184	0.3652562587
185	0.3651539251
186	0.3650748547
187	0.3649988662
188	0.3649882638
189	0.3649428444
190	0.3649401046
191	0.364911375
192	0.3648848692
193	0.3647815991
194	0.3646675417
195	0.3645726633
196	0.3645307787
197	0.3644846282
198	0.3643904425
199	0.3642538597
