iter	Passed	Remaining
0	39	7765
1	77	7684
2	137	9021
3	216	10624
4	341	13303
5	462	14962
6	582	16061
7	812	19505
8	905	19222
9	1131	21494
10	1313	22560
11	1522	23852
12	1606	23108
13	1767	23484
14	1872	23100
15	2006	23077
16	2109	22710
17	2267	22921
18	2512	23932
19	2624	23622
20	2838	24196
21	3020	24436
22	3171	24404
23	3322	24368
24	3480	24365
25	3598	24082
26	3738	23952
27	3907	24001
28	4166	24569
29	4357	24694
30	4656	25384
31	4795	25174
32	4974	25176
33	5064	24728
34	5322	25089
35	5442	24794
36	5569	24536
37	5782	24651
38	5870	24235
39	5939	23759
40	6016	23333
41	6089	22907
42	6185	22583
43	6277	22257
44	6399	22041
45	6483	21706
46	6608	21512
47	6776	21457
48	6903	21274
49	7073	21221
50	7249	21178
51	7412	21096
52	7591	21056
53	7775	21022
54	7957	20978
55	8060	20725
56	8227	20641
57	8364	20478
58	8520	20362
59	8734	20381
60	8921	20329
61	9079	20209
62	9277	20175
63	9503	20195
64	9609	19958
65	9862	20024
66	9904	19661
67	10043	19495
68	10189	19344
69	10247	19030
70	10408	18911
71	10461	18598
72	10647	18523
73	10757	18316
74	10927	18211
75	11108	18123
76	11260	17987
77	11429	17876
78	11665	17866
79	11816	17725
80	11951	17558
81	12092	17401
82	12236	17249
83	12363	17072
84	12509	16924
85	12664	16788
86	12822	16654
87	13001	16547
88	13179	16436
89	13375	16348
90	13557	16238
91	13683	16063
92	13922	16017
93	14090	15889
94	14255	15756
95	14471	15677
96	14562	15462
97	14760	15362
98	14959	15261
99	15042	15042
100	15152	14852
101	15323	14722
102	15425	14526
103	15571	14374
104	15777	14274
105	15891	14092
106	15957	13869
107	16004	13633
108	16052	13401
109	16095	13169
110	16139	12941
111	16189	12720
112	16237	12501
113	16291	12290
114	16356	12089
115	16403	11878
116	16459	11676
117	16507	11471
118	16563	11274
119	16632	11088
120	16675	10887
121	16738	10701
122	16788	10510
123	16839	10321
124	16886	10131
125	16931	9943
126	16978	9759
127	17022	9575
128	17088	9405
129	17137	9227
130	17181	9049
131	17236	8879
132	17291	8710
133	17354	8547
134	17400	8378
135	17447	8210
136	17495	8045
137	17540	7880
138	17588	7718
139	17641	7560
140	17687	7401
141	17755	7252
142	17804	7096
143	17850	6942
144	17898	6788
145	17943	6636
146	18018	6496
147	18066	6347
148	18111	6199
149	18156	6052
150	18201	5906
151	18246	5761
152	18319	5627
153	18362	5484
154	18418	5347
155	18462	5207
156	18508	5069
157	18553	4931
158	18608	4798
159	18654	4663
160	18698	4529
161	18742	4396
162	18795	4266
163	18840	4135
164	18886	4006
165	18943	3879
166	18990	3752
167	19042	3627
168	19098	3503
169	19143	3378
170	19187	3254
171	19229	3130
172	19270	3007
173	19313	2885
174	19358	2765
175	19415	2647
176	19460	2528
177	19503	2410
178	19546	2293
179	19591	2176
180	19633	2060
181	19683	1946
182	19732	1833
183	19777	1719
184	19822	1607
185	19868	1495
186	19914	1384
187	19969	1274
188	20017	1165
189	20061	1055
190	20109	947
191	20152	839
192	20195	732
193	20239	625
194	20283	520
195	20327	414
196	20373	310
197	20431	206
198	20475	102
199	20518	0
